Field_subtype,rpd,Source,all fileds,Sources,like_fields,
MLS_agentdetals,x,RPD,ABA,RPD,,
PropertyDetails,xx,imapp_tax,Adjusted SF,imapp_tax,,
a_system,x,RPD,AgentLeadType,RPD,,
PropertyDetails,xx,imapp_tax,Air Conditioning Type,imapp_tax,,Y
PropertyDetails,x,RPD,Amenities,RPD,,
MLS_agentdetals,x,RPD,AnyBrokerAdvertise,RPD,,Y
a_system,x,RPD,apnNumber,RPD,,
PropertyDetails,x,RPD,Appliances,RPD,,
MLS_agentdetals,x,RPD,ApplicationFee,RPD,,
PropertyDetails,x,RPD,ArchitecturalStyle,RPD,,
MLS_agentdetals,xx,kw_fsbo_X_C,Area,kw_fsbo_X_C,,
assesordetails,xx,imapp_tax,Assessed Value,"imapp_foreclose,imapp_tax,Real_foreclose_pre_running",Tax Assessed Value,
PropertyDetails,x,RPD,AssociationAmenities,RPD,,
PropertyDetails,x,RPD,AssociationDepositAmount,RPD,,
PropertyDetails,x,RPD,AssociationDepositYN,RPD,,
PropertyDetails,x,RPD,AssociationFee,RPD,,
PropertyDetails,x,RPD,AssociationFeeFrequency,RPD,,
PropertyDetails,x,RPD,AssociationFeeIncludes,RPD,,
PropertyDetails,x,RPD,AssociationYN,RPD,,
a_system,x,RPD,AtomApiData,RPD,,
PropertyDetails,x,RPD,AttachedGarageYN,RPD,,
litigationdetails ,xx,kw_fsbo_X_C,Attorney Address,kw_fsbo_X_C,,Y
litigationdetails ,xx,kw_fsbo_X_C,Attorney City,kw_fsbo_X_C,,Y
litigationdetails ,xx,kw_fsbo_X_C,Attorney First Name,kw_fsbo_X_C,,Y
litigationdetails ,xx,kw_fsbo_X_C,Attorney Last Name,kw_fsbo_X_C,,Y
litigationdetails ,xx,imapp_foreclose,Attorney Name,imapp_foreclose,,Y
litigationdetails ,xx,kw_fsbo_X_C,Attorney Office Phone,kw_fsbo_X_C,,Y
litigationdetails ,xx,imapp_foreclose,Attorney Phone Number,imapp_foreclose,,Y
litigationdetails ,xx,kw_fsbo_X_C,Attorney State,kw_fsbo_X_C,,Y
litigationdetails ,xx,kw_fsbo_X_C,Attorney Zip,kw_fsbo_X_C,,
litigationdetails ,xx,Real_foreclose_sold,AuctionStatus,Real_foreclose_sold,Status,
litigationdetails ,xx,Real_foreclose_sold,AuctionListDate,Real_foreclose_sold,Add Date,
litigationdetails ,xx,Real_foreclose_sold,Auction,Real_foreclose_sold,,
MLS_agentdetals,x,RPD,AvailabilityDate,RPD,,
litigationdetails ,xx,Real_foreclose_pre_running,Balance,Real_foreclose_pre_running,,Y
PropertyDetails,xx,imapp_tax,Bath Fixture Count,imapp_tax,,
PropertyDetails,xx,imapp_tax,Bathroom Fixtures,imapp_tax,,
PropertyDetails,x,RPD,BathroomsFull,"imapp_tax,kw_fsbo_X_C,mls_x_o,imapp_X_C","Bathrooms,Bathrooms - Total,Full Bathrooms,#Fbaths,Total Bathrooms,baths",
PropertyDetails,x,RPD,BathroomsHalf,"mls_x_o,imapp_X_C","Half Bathrooms,#Hbaths,halfbaths",
PropertyDetails,x,RPD,BedroomsTotal,"imapp_foreclose,imapp_tax,imapp_X_C,kw_fsbo_X_C,mls_x_o","Bedrooms,#Beds,beds",
litigationdetails ,xx,Real_foreclose_pre_running,Bidder,Real_foreclose_pre_running,,
PropertyDetails,xx,imapp_tax,Block,imapp_tax,,Y
PropertyDetails,xx,imapp_tax,Block Number,imapp_tax,,Y
PropertyDetails,xx,imapp_tax,Building Description,imapp_tax,,Y
PropertyDetails,xx,imapp_tax,Building Use Code,imapp_tax,,Y
PropertyDetails,xx,imapp_tax,Building Value,imapp_tax,,Y
PropertyDetails,,imapp_foreclose,BuildingArea,imapp_foreclose,"Total Building SF,Total Building Area,Total Building Area in SF",
PropertyDetails,x,RPD,BuildingName,"mls_x_o,imapp_X_C",Subdivision/Complex/Bldg.,
MLS_agentdetals,x,RPD,BuyerAgencyCompensation,RPD,,
MLS_agentdetals,x,RPD,BuyerAgencyCompensationType,RPD,,
PropertyDetails,x,RPD,CapRate,RPD,,
PropertyDetails,x,RPD,CarportSpaces,RPD,,
litigationdetails ,xx,imapp_foreclose,Case Number,Real_foreclose_pre_running,Case ID,
litigationdetails ,xx,imapp_foreclose,CaseStatus,Real_foreclose_pre_running,,
litigationdetails ,xx,Real_foreclose_pre_running,Certificate Holder,Real_foreclose_pre_running,,
litigationdetails ,xx,Real_foreclose_sold,Certificate Number,Real_foreclose_sold,,
PropertyDetails,x,RPD,City,"mls_x_o,imapp_tax,imapp_foreclose","Property City,City Name,TRUESITECITY",
litigationdetails ,xx,Real_foreclose_sold,Clerk Fees,Real_foreclose_sold,,
MLS_agentdetals,x,RPD,CoListAgentDirectPhone,RPD,,
MLS_agentdetals,x,RPD,CoListAgentEmail,RPD,,
MLS_agentdetals,x,RPD,CoListAgentFullName,RPD,,
MLS_agentdetals,x,RPD,CoListAgentMlsId,RPD,,
MLS_agentdetals,x,RPD,CommissionDescription,RPD,,
PropertyDetails,xx,imapp_foreclose,Construction,imapp_foreclose,,
PropertyDetails,x,RPD,ConstructionMaterials,RPD,,
tracking,xx,kw_fsbo_X_C,Contact ID,kw_fsbo_X_C,,
PropertyDetails,x,RPD,Cooling CoveredSpaces,RPD,,
PropertyDetails,xx,kw_fsbo_X_C,Country,kw_fsbo_X_C,,
PropertyDetails,x,RPD,County,"mls_x_o,RPD",County Name,
PropertyDetails,x,RPD,CustomAddress,RPD,,
PropertyDetails,x,RPD,CustomAddress2,RPD,,
PropertyDetails,x,RPD,CustomAddress3,"kw_fsbo_X_C,Real_foreclose_pre_running,imapp_X_C,mls_x_o,imapp_tax,imapp_foreclose","Address1,Address,Property Address,Property Address Line 1,TRUESITEADDR",
PropertyDetails,x,RPD,Customaddressfull,RPD,,
PropertyDetails,x,RPD,CustomPropertyType,RPD,,
assesordetails,xx,imapp_foreclose,Date,imapp_foreclose,,
Ownerdetails,xx,kw_fsbo_X_C,Date of Death,kw_fsbo_X_C,,Y
Ownerdetails,xx,kw_fsbo_X_C,Days On Market,kw_fsbo_X_C,,Y
MLS_agentdetals,x,RPD,DaysOnMarket,RPD,,
